PeakID,Mass,RT,FORMULA,Putative metabolite,confidence,Map,Pathway,PAK-1-0,PAK-2-0,PAK-3-0,PAK-4-0,PAK-5-0,PAK-1-1-C,PAK-2-1-C,PAK-3-1-C,PAK-4-1-C,PAK-5-1-C,PAK-1-1-P,PAK-2-1-P,PAK-3-1-P,PAK-4-1-P,PAK-5-1-P,PAK-1-4-C,PAK-2-4-C,PAK-3-4-C,PAK-4-4-C,PAK-5-4-C,PAK-1-4-P,PAK-2-4-P,PAK-3-4-P,PAK-4-4-P,PAK-5-4-P,PAK-1-24-C,PAK-2-24-C,PAK-3-24-C,PAK-4-24-C,PAK-5-24-C,PAK-1-24-P,PAK-2-24-P,PAK-3-24-P,PAK-4-24-P,PAK-5-24-P,P6-1-0,P6-2-0,P6-3-0,P6-4-0,P6-5-0,P6-1-1-C,P6-2-1-C,P6-3-1-C,P6-4-1-C,P6-5-1-C,P6-1-1-P,P6-2-1-P,P6-3-1-P,P6-4-1-P,P6-5-1-P,P6-1-4-C,P6-2-4-C,P6-3-4-C,P6-4-4-C,P6-5-4-C,P6-1-4-P,P6-2-4-P,P6-3-4-P,P6-4-4-P,P6-5-4-P,P6-1-24-C,P6-2-24-C,P6-3-24-C,P6-4-24-C,P6-5-24-C,P6-1-24-P,P6-2-24-P,P6-3-24-P,P6-4-24-P,P6-5-24-P,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
n967,722.5103328,9.180788702,C38H75O10P,PG(16:0/16:0),7,Lipids: Glycerophospholipids,Glycerophosphoglycerols,10434853.95,2966865.762,2360913.012,1528307.007,5234880.454,1204226.273,2128269.759,3301570.76,6744387.123,3388757.126,469937.5758,465340.0586,2388453.927,2157538.143,1002946.166,2610719.122,4070462.229,1918066.466,1507040.369,3655002.387,643394.5898,330145.0082,1162029.142,1780150.371,207448.2028,4308182.135,2304141.732,3001561.307,5033615.915,3167210.941,2455764.643,1128480.134,1405023.556,1590243.923,1856370.926,339330.6257,995378.5907,3723609.763,1632481.786,1341092.454,1480788.708,1112181.966,797338.3197,654973.1569,1076607.617,577489.9969,300252.6443,1305835.462,833035.2412,893097.7864,324632.9504,437365.9859,331938.045,2172171.874,724462.9344,507625.9461,521894.6925,1605016.97,382438.8019,1842170.182,667165.8056,844948.1809,3042568.869,2813843.508,1574736.003,624617.9657,895669.9346,886929.5802,1788139.568,1295832.469,1732456.4,1302841.593,838003.9792,688050.5246,523331.5171,422200.7096,355131.4108,302119.6245
p1936,731.5470847,10.28686449,C40H78NO8P,[PC(14:0/18:1)] 1-tetradecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,7,Lipids: Glycerophospholipids,Glycerophosphocholines,9107532.87,3395628.011,2344893.645,1777415.655,3991046.367,2281282.933,2971077.978,3895947.619,7589159.746,4176985.109,4598889.066,2421100.061,11541491,10999407.78,6887559.131,6400854.691,7800808.921,5255104.958,4626611.013,6666774.154,3550371.029,2517478.264,7315683.245,7701267.67,1026529.035,4563727.978,2434977.399,2071483.412,6615248.695,3251798.262,2176095.194,1077890.134,1151796.754,3068432.073,1626169.673,2413983.281,2742334.5,5509399.91,4196985.299,3088675.366,5480479.317,3994795.663,1322316.951,2858630.566,2978840.526,3933709.844,1678712.181,3792958.968,1475400.167,2390126.721,1334461.454,2054062.51,2488091.046,4520699.087,3499260.403,3502573.367,2638089.007,5536194.974,967479.4927,5217187.495,1047340.774,652539.0999,3366619.796,2426073.276,2131059.182,678298.726,933903.4381,140748.0202,1360923.269,1456518.166,2554018.876,2351050.132,2029891.507,1793640.791,1711858.618,1492928.664,1362894.778,1407170.452
p3248,731.5472613,11.1399774,C40H78NO8P,PE(15:0/20:1(11Z)),7,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,0,1127964.398,844927.6037,648672.8872,1421323.576,738881.2272,1034455.324,0,0,1434558.028,1734512.199,1084256.452,0,4144263.676,0,2145538.232,2811227.417,1809389.899,1566030.43,2448807.129,1271967.939,1088788.905,2611412.953,3105571.914,384864.4179,1380646.108,712454.2341,616568.5917,1933283.101,879522.2554,748350.9683,365503.2371,296012.1181,851560.5072,530974.333,771265.3549,998684.7145,1746963.455,1348864.584,836091.4875,1496860.498,1598613.739,451571.4376,960871.2693,1058658.353,1369039.509,355573.2385,602681.574,457430.2606,710910.7506,437445.2397,664561.7443,677781.3405,1249624.757,1033390.693,1063852.082,876640.1781,1579523.148,325301.9661,1555432.432,329425.2775,211007.3589,1021392.756,670714.3906,650468.4635,202275.9885,272356.8815,50778.93803,411232.1894,399010.5507,795902.898,842848.5809,692860.481,677257.3221,584606.8027,342222.5768,529768.7957,513315.8641
p4971,735.5056261,8.560137783,C38H74NO10P,PS(14:0/18:0),7,Lipids: Glycerophospholipids,Glycerophosphoserines,402730.6245,313199.4166,296247.2892,182173.4706,408820.7786,209166.8916,228711.6537,215411.0388,301922.32,268233.61,455912.3078,283439.5504,550582.5313,472128.2496,598967.8562,167936.1913,90656.36441,108140.0749,479536.2677,106237.4669,134032.299,109612.8391,309485.4248,200841.5573,103370.189,236476.9843,68356.01673,235903.0941,243683.847,162966.2784,131866.7301,54600.1678,129712.7982,199841.3677,94663.44136,255866.123,262913.5559,310550.6259,414604.9823,275974.6187,341946.6883,213245.3473,128773.7948,189882.6981,203695.3706,289955.5776,174640.5864,206185.1531,253154.8067,172835.6366,78965.51146,94542.1576,117788.6968,80101.77946,101039.2167,121300.6729,82314.08181,124707.0273,58803.1718,110966.6188,92147.40352,68131.73844,275778.661,122488.7229,103227.8316,84515.8288,69009.55641,67439.04674,109175.3304,87227.06254,117017.6219,126640.9145,124738.6623,120013.1272,118339.7134,122328.6662,120996.0837,128337.451
p4060,735.50569,7.690686544,C38H74NO10P,"[PS(16:0/16:0)] 1,2-dihexadecanoyl-sn-glycero-3-phosphoserine",7,Lipids: Glycerophospholipids,Glycerophosphoserines,1285840.614,1022130.396,1048305.742,883017.8098,1379874.634,714706.5361,725717.8133,761245.9697,1274427.648,1043757.077,1148241.981,650450.3219,1136226.095,1362511.034,1566298.681,522320.9982,269707.1613,342558.2237,1911982.705,309472.8607,375879.7512,242361.4542,790652.4592,413961.729,226960.0753,804164.857,219846.2454,762313.6404,974830.4195,650816.708,406138.4423,139326.6852,454009.3964,638766.9681,317622.1161,1064541.218,808620.167,1102634.135,1233330.892,973496.5755,1268546.023,703650.6783,408533.2452,611882.1824,656719.0758,984203.2643,545444.7187,637004.6119,877678.6094,581848.4813,251417.5905,309914.685,334207.7096,257589.6247,341102.5447,395372.9344,277621.0393,367004.9155,223435.7695,323826.2772,298116.3495,185127.5688,867641.8558,433496.5982,332019.4298,210804.5719,197488.1767,220290.2422,343762.1431,263319.7934,360269.7393,410026.9368,393807.1371,376069.7824,400672.6743,382589.8698,372235.915,365785.3074
n2854,744.4943622,9.463464551,C40H73O10P,"PG(16:0/18:3(6Z,9Z,12Z))",7,Lipids: Glycerophospholipids,Glycerophosphoglycerols,102321.2591,107330.3036,89215.9506,68906.02004,100136.6929,126728.7719,114357.646,128782.5364,106269.6919,105107.8833,165805.2315,82905.07418,248763.4726,240589.0157,185742.8163,151132.8607,71597.70277,59108.02517,87298.36158,111377.1574,99308.45078,69670.53521,225291.8333,142543.0904,37155.2287,179734.0908,130503.409,257880.1248,139371.6366,180728.9375,118483.7432,100743.5837,140969.3195,103957.2252,121395.4704,62766.45845,86148.68547,95360.07449,94606.28939,76620.25324,170116.3159,119121.5533,53988.65718,97570.69075,99394.41675,106992.5287,71643.56264,102472.7552,76259.74715,82461.66068,62939.38816,86169.78148,95425.10956,77139.47504,106982.7903,92622.34018,77478.35137,109425.7069,37838.27937,91021.51801,128480.7148,82380.48213,339604.0435,86605.55928,111286.5487,100489.475,107547.3262,62039.54514,73046.45616,94763.05202,112280.1965,95568.69113,95657.60322,86542.31404,97713.67079,81744.64352,84233.20457,81383.94542
n77,746.5092991,8.890468174,C40H75O10P,"PG(16:0/18:2(9Z,12Z))",7,Lipids: Glycerophospholipids,Glycerophosphoglycerols,41552696.48,34687744.37,27310137.07,22037184.83,37116182.29,22950203.01,29358503.55,31857059.97,45459949.67,34292947.82,38165210.53,23800190.18,68072584.52,48208694.96,44378195.11,32636983.32,28947394.41,24382867.4,23809311.9,22930328.4,26262207.79,22548995.87,61087218.07,42557546.99,12625557.62,10637206.64,4182540.427,14204430.75,18620873.93,8137522.403,6687422.092,3707447.688,7290456.897,16681144.83,4745213.121,28311658.42,36452322.96,47344042.69,41477284.24,31633679.69,51314708.01,43204279.12,17842614.18,34922800.86,33581289.82,46736225.69,24742103.96,40020806.04,19896326.53,27091168.01,24688976.37,36620075.76,37057857.31,44736451.53,47910428.24,42952259.05,40232405.36,54044257.18,18241294.87,51469322.39,5445205.585,3260725.891,11645023.49,12964428.35,7231129.555,4503313.593,4712407.917,2901674.876,10980379.29,4848379.925,23205250.26,23221423.71,22539277.27,21920397.09,20984941.2,20203420.37,19224777.19,19392460.59
p1166,757.562878,11.42323444,C42H80NO8P,"[PC(16:0/18:2)] 1-hexadecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine",7,Lipids: Glycerophospholipids,Glycerophosphocholines,7343165.011,2169967.029,1911378.393,1582031.522,2928674.57,1826569.025,2285667.544,2706865.435,5227782.588,2975490.805,5327397.804,2995312.188,10888217.66,9696851.155,7007556.512,6205990.567,6736371.022,5124960.409,4018444.188,5865070.539,4952600.942,3729883.457,7875863.583,8984289.062,1611921.628,2636791.291,1113956.822,885173.2609,3019189.222,1499820.283,1647792.211,1035143.667,408167.261,2041717.709,1267477.972,1437718.985,1790508.019,3341633.035,2867175.926,2032435.99,4160793.995,3257973.779,1223100.317,2630410.232,2758703.954,3604783.927,1604208.288,3174205.269,1241189.293,2061347.452,1632997.391,2587041.574,2179310.561,4125682.811,3807601.808,3358912.887,3082403.648,4546779.522,1118209.453,5397570.725,463744.7204,301693.5232,1343497.123,1062674.385,930568.2234,314062.766,352927.1124,109296.9475,720364.0304,518755.1366,2594861.179,2176681.209,2003106.638,1759953.037,1703081.621,1709514.074,1551546.689,1501150.159
p3594,757.5633561,12.65251623,C42H80NO8P,"PE(15:0/22:2(13Z,16Z))",7,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,1518252.897,558943.2761,348478.4436,305242.6824,559364.7256,344150.318,500885.1108,531251.2535,983292.53,626245.2826,1127755.899,672463.589,2336569.927,1939642.297,1574379.71,1099209.461,1500109.512,929624.7196,853568.4358,1248926.59,998326.4868,827962.3057,1639755.211,1992202.446,341446.9862,1001863.162,274918.9789,566515.9564,1481626.789,719151.1255,331389.0998,211642.6193,463842.5141,443659.7889,381349.8583,447242.0348,480943.3036,727443.1834,771370.9564,465957.1596,798119.3659,726323.91,263589.5551,510961.665,587648.1746,718902.8745,360773.5668,623423.3413,290820.789,408183.7756,361621.4152,534773.5856,513502.9612,771905.8404,755113.2345,727319.6299,596065.1098,895839.8394,240848.3913,1122531.456,351639.9519,321267.8926,773009.2981,962833.7647,697262.5384,347796.356,222642.1234,247318.4746,300065.6769,402700.2612,410959.0124,487133.555,309071.3743,311353.0828,196153.5983,302893.399,253452.4345,364528.6765
p1164,759.5782379,11.47443295,C42H82NO8P,[PC(16:0/18:1)] 1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,7,Lipids: Glycerophospholipids,Glycerophosphocholines,39323937.17,8628217.467,5670928.45,4636707.157,11363389.37,6023641.095,8343082.57,11180131.77,26950724.19,11395197.9,13396431.11,8679172.185,40191557.2,33447754.98,22672573.62,25272534.04,33031206.68,19141841.64,16540508.35,29998153.73,14030985.95,10003810.31,29951558.33,30049936.68,4863818.14,20793137.71,8691617.506,5999559.328,24728004.2,11200490.23,7484896.971,4400841.852,2926117.892,7184256.483,6412190.734,3881788.402,5405630.767,13502052.35,8018145.099,5700194.75,12664141.57,11035938.44,3087355.517,6819282.887,8594766.331,9221456.027,3650874.32,10945358.17,4083381.718,5855000.029,4630977.469,6810878.091,6194489.103,18467253.49,11975185.46,10938858.77,9027805.354,17646795.72,3343335.332,19587154.33,2958967.812,2095677.295,13903085.85,8659494.933,7006872.292,1900371.766,2933164.229,828105.9728,3400370.811,4215284.349,10730203.21,7991240.19,7073354.611,6087912.821,5546508.812,4989520.302,4473618.526,4129897.821
p1626,763.5367713,9.419048141,C40H78NO10P,PS(16:0/18:0),7,Lipids: Glycerophospholipids,Glycerophosphoserines,22631549.46,11753482.62,9242534.661,9719419.055,16418894.14,10208379.49,11954779.68,13452518.17,19114674.14,0,18571186.64,12860919.88,30871206.81,23503213.52,25978847.55,16012185.56,13434635.36,10367442.58,12438929.52,10263217.27,11182467.52,10841954.59,28576897.27,21054246.19,6790017.658,6020039.947,2085437.441,7861526.599,10427183.04,4018834.03,4119445.04,1733791.213,3403327.104,9820538.932,2557451.197,7199836.087,16349507.9,21306849.53,0,13267701.76,23273920.74,18541552.95,6621431.051,0,12565363.47,19282819.64,0,16907400.16,7427546.901,12658517.04,8563626.321,11554708.43,14083291.38,18168663.59,19401688.88,18566558.13,16611892.04,27308675.54,7387655.534,23354723.29,2002509.625,1131928.579,6348945.493,7815848.425,3166687.606,2013096.643,0,0,5637018.952,2054765.648,7749534.352,7752220.41,8422620.616,8514392.77,7855846.244,8307136.05,5030216.348,0
p5345,768.4918755,11.33946587,C42H73O10P,"PG(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))",7,Lipids: Glycerophospholipids,Glycerophosphoglycerols,172350.2894,104962.7001,76095.44374,95686.88156,101213.4936,92953.14934,113290.6381,110919.3148,145071.2487,137142.4482,187907.298,133616.3747,230794.0441,232312.0545,233569.7176,116794.6973,121006.0904,90748.97983,103746.899,90428.02988,146457.0015,94334.84757,198402.7068,152278.3964,59798.28394,364044.6576,116703.7025,256448.2152,494795.9737,196972.1716,130717.1274,63648.50435,132988.4127,137562.3814,117086.8687,82645.47308,62891.95646,156680.8299,147268.1588,56285.92741,181702.3277,144844.3116,74026.97236,128448.4291,134072.4786,170373.9382,81009.50428,122638.9577,81423.34932,124074.2143,89630.80264,126572.0076,135138.0038,117080.0044,151183.4549,136978.9798,113989.6898,142855.2775,64166.53438,187314.1194,113442.1472,96445.14458,282933.3847,359559.7653,289999.8664,85213.75242,92574.9108,75672.47306,123953.5895,120480.4627,73846.43124,65181.73228,75263.27875,58243.66829,64035.00963,78660.88785,73446.04154,65397.51318
p2857,771.5784285,11.46830302,C43H82NO8P,"PC(15:0/20:2(11Z,14Z))",7,Lipids: Glycerophospholipids,Glycerophosphocholines,159718.9788,42883.88061,25214.73202,25551.40621,44134.47587,27873.25594,45932.38366,39091.67533,86895.10392,53262.20014,121789.844,59761.15952,208685.5993,245236.4042,127443.8974,542327.9454,802697.3259,452921.4133,361215.521,591731.7785,292633.7323,277103.9991,408772.6115,422572.3447,45620.98005,6246849.108,2909487.095,2843636.53,7716298.623,4159491.485,1915314.954,1122126.855,1261266.414,1654462.618,2019964.528,33540.37778,49333.9483,67020.37391,50930.60177,33863.76437,67734.46404,58059.21716,18117.63516,38157.29982,43787.57144,63150.59939,31902.02546,57044.22122,27733.69797,45179.55794,139652.5376,181786.1669,163462.5796,437138.6577,336168.2128,310703.6962,254916.377,395035.2404,72371.31086,433328.7746,1643880.801,1171988.17,4107070.815,3664561.837,4518192.366,1026976.887,1390170.677,146827.2817,961611.1257,2507477.656,579160.6812,480141.0789,455124.6786,351517.1039,343325.7156,306243.2539,294216.3798,309187.2687
p4251,773.5948673,13.22954139,C43H84NO8P,PC(20:1(11Z)/15:0),7,Lipids: Glycerophospholipids,Glycerophosphocholines,53195.31896,0,0,0,0,0,0,0,18102.1979,0,0,0,44808.32101,40457.8099,31777.70359,143336.3372,176771.8239,118782.4943,87270.23888,169621.6181,53152.67019,67001.70935,108371.7209,110948.2115,0,1289990.741,904668.2294,599561.4777,1931258.363,1980809.766,527604.4909,298136.6836,432530.3027,447573.2944,535338.8491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33479.97804,38888.23032,39172.30179,78313.51989,66866.39514,41650.38874,40084.82424,82796.49581,24643.83192,97235.92209,361866.0845,302634.3059,1516639.054,1097950.331,1331938.651,307202.7348,0,86525.62725,250377.1511,817745.8113,215857.9898,157037.4893,127267.1002,120077.7238,116799.3692,93810.75068,99719.06908,100349.2981
n2690,785.519331,13.35212641,C42H76NO10P,"PS(16:0/20:3(8Z,11Z,14Z))",7,Lipids: Glycerophospholipids,Glycerophosphoserines,513849.1256,190401.4247,183145.3263,132868.7146,290687.0094,109514.7986,124583.7221,141909.9562,258539.7052,250047.8502,81385.76547,163037.0621,218971.026,0,251195.7734,169438.5354,359434.7154,193335.2063,172413.2527,435694.024,70131.97938,83433.09591,108975.0323,194072.2167,124385.0914,236931.4236,86274.6597,153870.0844,296656.625,238504.126,109548.7926,80446.69437,120727.3278,103463.0646,105006.6963,48227.97733,90811.32424,145659.319,126015.5346,104280.5756,123983.2833,95307.95499,91317.72745,80621.75646,72188.57017,63543.44149,49111.99354,100387.4307,107980.3467,95627.117,64126.10738,62201.05521,54773.82396,185773.2326,95815.42613,66435.2199,67125.58981,125538.5261,77434.08413,149403.795,71778.81506,93011.54251,195007.0025,218171.3589,167400.1502,71858.56212,70505.94001,113913.0486,106867.9627,86955.02403,285261.2086,214623.5284,142845.5278,121604.6711,110186.4086,110792.6215,120677.7074,118783.3876
p2742,791.5684355,10.95120902,C42H82NO10P,"[PS(18:0/18:0)] 1,2-dioctadecanoyl-sn-glycero-3-phosphoserine",7,Lipids: Glycerophospholipids,Glycerophosphoserines,5217372.394,1775943.098,1255135.443,929765.6064,2111285.933,1425934.484,1641221.023,1899687.842,3486296.575,1974342.664,2602224.11,1405684.405,5126039.216,4153160.669,2717184.719,1779641.037,1773301.511,1628504.122,909740.0821,1361306.196,1806572.036,1503174.614,5076682.66,4258062.441,625586.865,8018941.727,4310448.133,8741693.722,8199281.976,4088392.559,3910104.593,1658635.955,1666879.3,2346766.914,2144143.667,686669.8745,1542520.356,1873619.609,1881490.825,951275.65,3031685.366,2178418.873,633862.1453,1377886.601,1504434.225,2045284.305,855005.9929,1931826.254,751659.919,1062492.919,1043139.509,1637733.384,1765568.288,2531529.755,2579523.428,2562815.493,2074522.372,3566453.856,788026.2651,3312608.443,5733698.356,3136108.674,5248265.215,8455017.649,8804702.933,3180943.836,3631964.136,887012.7534,4132911.503,5254243.746,1487579.103,1857580.513,787844.7784,835343.0154,832524.4246,1086752.567,694628.6898,1002965.979
p5178,799.6104496,12.68841349,C45H86NO8P,"PC(15:0/22:2(13Z,16Z))",7,Lipids: Glycerophospholipids,Glycerophosphocholines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27373.96844,32200.53833,31887.28998,19399.16788,27108.29058,15593.12164,20637.25419,23797.67533,35306.30558,0,383066.9857,137003.0091,202951.5079,622306.3848,286450.5267,120032.1302,60223.94782,94790.93444,91939.06301,137183.7713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22555.09101,23604.80786,0,11491.10732,22269.07935,0,30320.17083,125445.8446,79264.98999,231938.9518,280938.1003,335417.0414,73671.03487,82596.83386,23419.24726,71962.69891,153479.1708,41424.38552,45207.63096,27137.17046,27517.28892,27336.71002,24492.31548,22954.42695,27754.35999
n1274,495.296469,2.911288455,C23H46NO8P,PC(15:0),6,Lipids: Glycerophospholipids,Glycerophosphocholines,234673.171,247000.191,232776.5561,273904.2561,255479.727,195739.0039,154936.649,196969.5346,172853.847,191909.5594,45413.85869,49493.73609,48723.43233,34150.94509,66476.1544,69762.55954,64864.23659,41706.45955,37530.10399,44165.3467,10465.64573,13713.82501,17835.08745,15386.52402,26732.7696,8343.680847,7017.440463,10296.64882,13101.27178,5199.115035,2300.570537,6594.386446,5393.057857,8360.960025,4907.665745,218453.0788,184200.4976,181662.4172,219773.5296,161144.2214,161427.1898,138096.3008,166161.0851,203464.856,142125.1099,61747.20721,70378.0032,80128.49529,92673.96091,82229.68496,42285.57587,33682.94208,50622.1955,49031.98707,32628.83304,16948.96166,20950.00377,22946.94446,39209.69904,18114.86365,7001.233978,10203.15172,6468.152767,6606.781158,2939.610732,7043.280553,5551.077702,2553.997117,5378.009597,2576.85588,67116.04331,79011.30776,65962.23439,59491.89512,64466.14033,57961.87604,57099.69244,55336.13397
p260,630.4270343,1.93481695,C34H63O8P,PA(31:2),6,Lipids: Glycerophospholipids,Glycerophosphates,523010.8105,535378.728,473793.1908,433998.1029,513017.7733,534490.2703,570406.2491,588614.9713,464565.1111,753173.4035,125937.0307,199893.0205,41479.50319,26721.94907,59848.67713,595543.7734,424176.2137,322042.2078,125017.0064,374447.3427,145812.6145,94290.73687,96981.24382,99670.46542,214656.6565,0,0,0,0,0,0,0,0,0,0,366226.4032,405514.3163,373098.1012,463639.0955,413411.2741,459975.8945,406657.0304,599768.0465,683819.6902,588174.0502,177649.3598,150614.5122,197672.9181,190764.7473,244628.2159,261649.3877,368285.4893,647920.2866,742809.0435,725847.3795,86177.13003,117445.3023,205349.1843,247696.9397,152923.6214,0,0,0,0,0,0,0,0,0,0,97771.0444,147237.873,148498.7998,151721.0822,121418.3759,133463.9934,165853.1789,119919.2342
n823,661.4671025,1.281255912,C35H68NO8P,PE(30:1),6,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,61311.34721,69507.9159,76373.4749,99940.92859,36951.22473,117141.1107,91003.45647,104311.1273,90951.89219,71513.38099,32128.67847,33734.15405,15871.36269,0,6056.576693,127988.9321,96237.04474,97040.69664,42918.5175,88685.61462,35918.23178,54339.24974,21775.88334,70618.15956,75559.5202,0,0,0,0,0,0,0,0,0,0,60808.61226,91187.49948,51956.80587,46803.94644,44654.8958,92425.6216,114043.3979,137250.8299,162406.3917,100615.0955,35976.58045,59464.07159,45724.99212,75927.9638,76300.60586,74945.78641,92542.84231,137674.4516,177431.7862,132307.6049,35313.36301,40704.57484,49690.01355,86800.17985,56205.49626,0,0,0,0,0,0,0,0,0,0,51074.54177,46436.72575,41778.21248,58078.07338,44682.09371,52499.90146,49738.95524,36426.74959
n712,689.4985456,1.474970275,C37H72NO8P,PE(32:1),6,Lipids: Glycerophospholipids,Glycerophosphoethanolamines,97977.64331,45418.04812,64687.62739,75271.89483,43038.8926,67315.17873,92609.53972,83556.02402,144880.8253,67002.42073,32258.52279,41807.05861,44726.82849,34210.30267,20320.85182,99650.97257,126520.0121,51704.2042,39464.7376,104904.6233,42766.10494,74969.36655,28737.63399,141857.3341,56696.87166,0,8237.732037,0,0,0,0,7878.667982,0,0,0,30543.10537,68152.94264,101391.0105,60219.47543,34986.23469,88190.10372,98446.1765,72103.94872,117259.7728,69209.47983,30225.24126,36574.17604,48374.22908,69247.75251,76392.81423,34038.67848,66270.63129,98693.25545,239707.4654,119814.8502,23543.42175,31777.47144,55460.62172,62380.82582,81932.02365,0,7983.466437,0,0,0,0,0,0,0,0,71125.36507,58136.4061,65201.25001,53542.22953,59118.9537,45659.08553,43814.46202,42497.69165
n497,705.496177,0.704352927,C37H72NO9P,PS(P-31:0),6,Lipids: Glycerophospholipids,Glycerophosphoserines,298272.6993,999083.4554,799081.9137,977715.965,823669.1115,668611.7182,1285652.057,533463.1462,472273.9675,516627.966,857003.9984,1614334.671,518080.9367,946034.234,881133.1108,622663.1302,670622.5026,873894.1322,476050.9035,604176.1727,838427.1832,1093634.908,466647.8214,458253.0435,1226780.988,201680.4052,451494.5764,299525.6673,184551.5043,0,270711.3309,556545.0782,484194.9514,267559.8145,219986.0244,1042598.571,1128089.57,553408.5395,657938.7758,1014407.585,799388.8448,773548.7401,934947.9668,891661.6957,1212934.048,872107.9856,1073274.882,632145.7275,810106.6227,976657.9483,832188.7543,569797.4095,773393.0966,582060.4406,870615.8667,466952.9512,807374.5454,612018.6892,1376137.881,824544.5435,272784.2808,341469.4701,260188.0789,0,0,538650.0229,298456.1152,1228201.807,203845.5985,0,515186.3379,553976.9088,794330.0171,531748.5056,665034.7692,687907.4826,789974.5248,667828.4452
n370,705.6044843,0.711411325,C40H84NO6P,PC(O-32:4),6,Lipids: Glycerophospholipids,Glycerophosphocholines,726023.1091,2403248.985,2093319.897,1777043.844,2057109.799,1782405.925,1556651.333,1770565.134,1392812.873,1665394.667,2515121.481,2187791.876,1725937.083,1552020.664,1784991.517,1558798.416,1827509.231,2092634.145,1350687.997,1434568.463,2163923.816,2071875.488,1533676.325,1512113.017,2788951.345,669081.4582,1183493.527,952451.3521,816354.8399,495944.2169,1111829.905,1282897.997,1245860.621,854870.8559,984066.814,2737688.666,1836513.368,1572820.685,2046547.868,2394465.849,2294863.387,1751393.076,2186909.004,2549211.704,1941855.766,1623444.941,2242382.62,2300358.957,2402061.01,2046543.389,2078632.258,1763891.683,1941586.876,1821315.876,1962266.924,1531193.327,1503265.077,1664868.681,2559304.238,1745130.089,676061.1776,1348526.982,996934.3679,825465.2498,276814.7098,1352528.793,1303179.597,2312480.256,728195.8655,484308.997,1739018.058,1398337.213,1518337.891,1584701.38,1684414.303,1779829.892,1706823.487,1510854.213
p2061,712.4155097,0.906332307,C34H65O13P,PI(25:0),6,Lipids: Glycerophospholipids,Glycerophosphoinositols,749625.4666,741847.0595,677841.7184,1163454.904,645653.3246,817525.5793,595085.1651,614492.9239,547614.3819,473523.8497,957092.7073,1024154.979,546901.5494,627811.8641,501346.5658,786969.562,496884.5026,728108.5745,734144.9978,634208.6136,741619.6878,915730.5356,756518.3446,794174.3055,957925.1378,516390.3861,494739.3813,568535.4273,408203.0868,2092629.722,700868.3318,527127.6033,847130.896,518622.2555,676782.7158,815427.3982,706742.3515,667751.0629,664815.8333,545120.2887,495707.6985,477178.2156,513529.9145,902523.5097,590356.5816,653815.5045,965305.6599,599900.2811,589768.5334,682864.8718,565473.7915,508924.5108,485507.0399,355850.7695,505100.1049,549779.0926,554790.3348,527832.2488,510253.7737,399080.8017,641305.5457,374688.1273,407273.669,526768.061,611339.0476,668111.039,510529.1718,105418.5944,936023.7921,379398.7058,430754.0597,508528.7569,478536.0082,448544.8413,484607.3507,555965.2098,454365.9514,459827.529
p5604,739.5154868,7.965544651,C41H74NO8P,PC(33:4),6,Lipids: Glycerophospholipids,Glycerophosphocholines,0,64417.27743,39768.48946,40353.95084,66466.59014,22218.08661,92526.00598,93363.1841,148820.9437,76283.16307,35152.98324,38894.01181,190097.076,107514.689,87941.47002,40649.41145,136347.9857,76887.96649,115873.0174,150092.5174,24452.45466,75922.10514,111653.249,147926.6147,0,40749.80982,149067.4924,71225.22267,92100.79831,71047.69691,37277.33911,110571.9182,64438.2848,73176.37536,79854.31145,27720.87609,105589.2803,80195.66314,81426.72016,38239.6894,49842.31685,171988.871,38084.68391,80989.66343,67719.11154,30273.45345,37172.552,61343.90106,21394.52196,29176.53963,30873.76748,142146.6958,54751.04169,176321.0895,91151.00006,32164.83257,103034.9382,73499.43688,38659.28292,85065.89059,59459.64242,151004.2756,90022.04165,85073.07336,102702.1852,71513.61323,130587.8977,0,49680.01051,76623.16908,63072.46618,73883.64668,55855.05172,57729.62664,58473.18819,68883.03415,72926.70144,58268.06764
